time,glass_temp_zone1,glass_temp_zone2,glass_temp_zone3,glass_temp_zone4,RPM,energy_equivalent,batch,recipe,pressing_pressure,pressing_time,geometry_final,geometry_name,glass_ID,cycle_time,temp_chamber05,temp_chamber07,temp_chamber09,temp_chamber11,temp_chamber13,temp_chamber15,temp_chamber17,regulation_temp,optics_ok
2021-02-12 15:22:18,652.5572727272727,635.6226373626373,589.1734615384615,600.6554545454545,3000,151.70684283488734,Batch-5,Recipe-C,190.0,68.0,-0.2298000007867813,Center Q1,2010141822134039,2450.0,599.0,616.0,643.0,635.4583333333334,626.0,610.5416666666666,587.0,458.5,1.0
2021-02-12 15:22:43,652.4486666666667,634.9606043956044,589.6934065934066,600.6592121212121,3000,151.70270164504018,Batch-5,Recipe-C,190.0,60.0,-0.2989999949932098,Center Q1,2010141822364040,2450.0,600.0,616.0,643.1304347826087,635.5416666666666,626.0,610.0,587.0,458.8999938964844,1.0
2021-02-12 15:23:06,652.3550303030303,635.2223076923077,589.425934065934,600.5375757575757,3000,151.6980672534318,Batch-5,Recipe-C,190.0,63.0,-0.3095999956130981,Center Q1,2010141822544041,2450.0,600.0,616.4166666666666,644.0,636.0,626.0434782608696,610.0,587.0,459.3999938964844,1.0
2021-02-12 15:23:32,652.4204242424242,635.0617032967033,588.9985164835165,600.5660606060607,3000,151.70325870616423,Batch-5,Recipe-C,190.0,70.0,-0.0526000000536441,Center Q1,2010141823374043,2450.0,600.2727272727273,617.0,644.4583333333334,636.0,626.0,609.7826086956521,587.0,459.5,0.0
2021-02-12 15:23:55,652.9289696969697,635.5457142857142,589.1972527472527,600.7958181818183,3000,151.75208519826472,Batch-5,Recipe-C,190.0,70.0,0.1444000005722046,Center Q1,2010141823574044,2450.0,599.75,616.7826086956521,644.3333333333334,636.0,626.0,609.5217391304348,587.0,459.6000061035156,1.0
2021-02-12 15:24:20,652.3587272727273,635.3698351648353,588.7802197802197,600.3287272727273,3000,151.64100962703964,Batch-5,Recipe-C,190.0,70.0,-0.3003999888896942,Center Q1,2010141824174045,2450.0,600.0,616.4166666666666,643.7083333333334,636.5,626.0,610.0,587.0,459.6000061035156,0.0
2021-02-12 15:24:44,652.7034545454545,635.3603846153845,589.6066483516485,600.8713333333333,3000,151.76887628373478,Batch-5,Recipe-C,190.0,63.0,0.1816000044345856,Center Q1,2010141823154042,2450.0,600.4583333333334,616.5416666666666,643.7083333333334,636.0,626.0,609.2608695652174,587.0,458.8999938964844,0.0
2021-02-12 15:25:09,652.5643636363636,635.0936813186812,589.1484065934068,600.6244242424242,3000,151.67548536493138,Batch-5,Recipe-C,190.0,69.0,-0.1410000026226043,Center Q1,2010141820504035,2450.0,600.0,616.1304347826087,643.2608695652174,636.0,626.0,609.5833333333334,587.0,458.6000061035156,1.0
2021-02-12 15:25:35,652.2795151515153,634.9832967032968,589.0784065934066,600.5053939393938,3000,151.68828684382288,Batch-5,Recipe-C,190.0,65.0,0.1093999966979026,Center Q1,2010141824404046,2450.0,600.0,616.0,643.56,635.9130434782609,626.2608695652174,609.7916666666666,587.0,458.5,1.0
2021-02-12 15:25:59,651.876,634.5813186813186,588.3628571428571,599.8981212121213,3000,151.54519911137012,Batch-5,Recipe-C,190.0,74.0,-0.2813999950885773,Center Q1,2010141818464029,2450.0,600.125,616.4583333333334,643.6086956521739,636.44,626.0,609.8695652173913,587.0,458.2000122070313,0.0
2021-02-12 15:26:48,651.7825454545455,634.3962637362637,588.0183516483515,599.6653333333334,3000,151.51665723051022,Batch-5,Recipe-C,190.0,79.0,-0.3619999885559082,Center Q1,2010141815544020,2450.0,600.6666666666666,617.0,644.25,636.6086956521739,626.0,609.2380952380953,586.6666666666666,458.5,0.0
2021-02-12 15:27:13,651.6492727272728,634.4262637362638,588.6788461538463,599.9961818181818,3000,151.56595437062936,Batch-5,Recipe-C,190.0,66.0,-0.3761999905109405,Center Q1,2010141813464014,2450.0,600.375,617.04,644.6086956521739,636.7391304347826,626.0,609.0869565217391,586.7916666666666,458.2999877929688,0.0
2021-02-12 15:27:37,651.4581212121211,633.8815384615384,588.7077472527473,599.991696969697,3000,151.49762256798755,Batch-5,Recipe-C,190.0,68.0,-0.7088000178337097,Center Q1,2010141811254007,2450.0,600.0,617.0,644.0,636.375,626.0,609.1739130434783,587.0,458.2999877929688,0.0
2021-02-12 15:28:26,651.2488484848485,633.6196153846154,587.8834615384616,599.2800606060606,3000,151.45620426689976,Batch-5,Recipe-C,190.0,75.0,-0.5813999772071838,Center Q1,2010141802513984,2450.0,599.36,616.5833333333334,643.48,635.8260869565217,625.8181818181819,609.6521739130435,586.6521739130435,457.8999938964844,0.0
2021-02-12 15:28:51,651.7907272727273,634.3592307692307,588.3217582417583,599.9518787878787,3000,151.53575624915825,Batch-5,Recipe-C,190.0,78.0,-0.1022000014781952,Center Q1,2010141801073979,2450.0,600.0,617.0,643.8260869565217,635.5652173913044,625.8695652173913,609.0,586.5,457.8999938964844,1.0
2021-02-12 15:29:15,651.5972727272728,634.2085714285714,588.2493406593406,599.7125454545454,3000,151.48485902525255,Batch-5,Recipe-C,190.0,75.0,-0.5230000019073486,Center Q1,2010141759093973,2450.0,600.4583333333334,616.92,643.6363636363636,636.0,625.7826086956521,609.0,586.25,457.8999938964844,0.0
2021-02-12 15:29:40,652.0903030303031,634.4135714285715,588.7981868131867,600.0783636363636,3000,151.59786283903136,Batch-5,Recipe-C,190.0,68.0,-0.3869999945163727,Center Q1,2010141757513969,2450.0,600.0,616.3913043478261,643.4545454545455,635.7272727272727,625.5652173913044,609.2380952380953,586.0,457.7000122070313,0.0
2021-02-12 15:30:05,652.4439393939393,634.8538461538461,588.9397802197801,600.4187272727273,3000,151.6472545997151,Batch-5,Recipe-C,190.0,70.0,0.0252000000327825,Center Q1,2010141755043961,2450.0,600.48,616.5217391304348,644.0,636.0,625.9130434782609,609.875,586.0909090909091,456.8999938964844,0.0
2021-02-12 15:30:27,652.3475757575758,634.8842307692307,589.2442307692307,600.7395151515151,3000,151.66886817754468,Batch-5,Recipe-C,190.0,69.0,-0.5284000039100647,Center Q1,2010141753493957,2450.0,599.6521739130435,616.25,643.6521739130435,636.2916666666666,627.0,610.0,586.5833333333334,456.8999938964844,1.0
2021-02-12 15:30:52,651.8229090909091,634.5093956043956,589.0578571428573,599.7944242424243,3000,151.57648592592594,Batch-5,Recipe-C,190.0,63.0,-0.5242000222206116,Center Q1,2010141751453951,2450.0,600.0,616.0,643.0,635.7916666666666,626.1363636363636,609.304347826087,587.0,457.0,1.0
2021-02-12 15:31:17,651.9096363636362,634.3379120879122,589.1197802197803,600.1586666666667,3000,151.62275362885265,Batch-5,Recipe-C,190.0,64.0,-0.3282000124454498,Center Q1,2010141749213944,2450.0,600.0,616.0,643.2727272727273,636.0,626.2727272727273,609.375,586.3913043478261,457.0,1.0
